absolute_path	logical_bytes	classification	retention_reason
/home/clawd/research/scion-experiments/v04-cvrp-constructionpivot-guidance-f462133-local-agentic-1r-gpt55-20260618T075218Z-claw	3359713	referenced-infra-failure	historical_report_reference_requires_main-session_disposition
/home/clawd/research/scion-experiments/v04-cvrp-constructionpivot-guidance-local-agentic-1r-867f5de-20260618T073729Z	3319781	referenced-infra-failure	historical_report_reference_requires_main-session_disposition
/home/clawd/research/scion-experiments/v04-cvrp-postpivot-resume-ready-1r-gpt55-calibbudgetfix-1r-gpt55-20260618T105613Z-claw	5717576	unresolved-prepared-lineage	missing_run_status_and_prepared_manifest
/home/clawd/research/scion-experiments/v04-cvrp-postpivot-resume-ready-1r-gpt55-lifecyclefix-1r-gpt55-20260618T103717Z-claw	5717566	unresolved-prepared-lineage	missing_run_status_and_prepared_manifest
/home/clawd/research/scion-experiments/v04-cvrp-postpivot-resume-ready-1r-gpt55-measurementfix-1r-gpt55-20260618T105007Z-claw	5717576	unresolved-prepared-lineage	missing_run_status_and_prepared_manifest
/home/clawd/research/scion-experiments/v04-cvrp-postpivot-resume-ready-1r-gpt55-runtimefix-1r-gpt55-20260618T102543Z-claw	5717556	unresolved-prepared-lineage	missing_run_status_and_prepared_manifest
/home/clawd/research/scion-experiments/v04-cvrp-postpivot-resume-ready-brief-1r-gpt55-20260618T120026Z-claw	5750449	prepared-without-manifest	status=prepared_but_prepared_run_manifest_missing
/home/clawd/research/scion-experiments/v04-cvrp-postpivot-resume-ready-coverage-1r-gpt55-20260618T114826Z-claw	5750012	prepared-without-manifest	status=prepared_but_prepared_run_manifest_missing
/home/clawd/research/scion-experiments/v04-cvrp-postpivot-resume-ready-healthcheck-1r-gpt55-20260618T112336Z-claw	5716806	prepared-without-manifest	status=prepared_but_prepared_run_manifest_missing
/home/clawd/research/scion-experiments/v04-cvrp-postpivot-resume-ready-inventory-1r-gpt55-20260618T113345Z-claw	5717251	prepared-without-manifest	status=prepared_but_prepared_run_manifest_missing
/home/clawd/research/scion-experiments/v04-cvrp-postpivot-resume-ready-preparedstatus-1r-gpt55-20260618T111015Z-claw	5718399	prepared-without-manifest	status=prepared_but_prepared_run_manifest_missing
/home/clawd/research/scion-experiments/v04-cvrp-successor38-proposal-quality-contract-cleanfork-server-2r-gpt55-20260705T153433Z-claw	9558688	referenced-preprotocol-signal	inflight_report_reference_despite_effective_rounds=0
/home/clawd/research/scion-experiments/v04-cvrp-successor44-post-vns-best-anchor-acceptance-guard-server-claw-2r-gpt55-2r-gpt55-20260706T154957Z-claw	14879751	referenced-preprotocol-signal	design_report_reference_despite_effective_rounds=0
/home/clawd/research/scion-experiments/v04-cvrp-successor44b-post-vns-best-anchor-acceptance-guard-retry-server-claw-2r-gpt55-2r-gpt55-20260706T160018Z-claw	18260423	referenced-formal-signal	design_report_reference_and_effective_rounds=1
/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-ready-6r-gpt55-calibbudgetfix-6r-gpt55-20260618T105613Z-claw	64995416	unresolved-prepared-lineage	missing_run_status_and_prepared_manifest
/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-ready-6r-gpt55-lifecyclefix-6r-gpt55-20260618T103718Z-claw	64995368	unresolved-prepared-lineage	missing_run_status_and_prepared_manifest
/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-ready-6r-gpt55-measurementfix-6r-gpt55-20260618T105007Z-claw	64995416	unresolved-prepared-lineage	missing_run_status_and_prepared_manifest
/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-ready-6r-gpt55-runtimefix-6r-gpt55-20260618T102543Z-claw	64995320	unresolved-prepared-lineage	missing_run_status_and_prepared_manifest
/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-ready-brief-6r-gpt55-20260618T120027Z-claw	65027978	prepared-without-manifest	status=prepared_but_prepared_run_manifest_missing
/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-ready-coverage-6r-gpt55-20260618T114826Z-claw	65027598	prepared-without-manifest	status=prepared_but_prepared_run_manifest_missing
/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-ready-healthcheck-6r-gpt55-20260618T112336Z-claw	64994449	prepared-without-manifest	status=prepared_but_prepared_run_manifest_missing
/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-ready-inventory-6r-gpt55-20260618T113345Z-claw	64994856	prepared-without-manifest	status=prepared_but_prepared_run_manifest_missing
/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-ready-preparedstatus-6r-gpt55-20260618T111015Z-claw	64996099	prepared-without-manifest	status=prepared_but_prepared_run_manifest_missing
