batch	absolute_path	deleted_logical_bytes	classification	validation_conclusion
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-codeheadroom-f00b3a1b-preflight-1r-gpt55-20260619T202817Z-claw	5998606	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-a46830e0-preflight-4r-gpt55-20260619T211538Z-claw	5992790	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-briefboundary-0ed9559b-preflight-4r-gpt55-20260620T072205Z-claw	5990047	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-campaigncontract-df871c55-preflight-4r-gpt55-20260620T073451Z-claw	6001443	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-ciplateau-48a61ed6-preflight-4r-gpt55-20260619T233849Z-claw	6000090	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-cmtprompt-7f06d4c4-preflight-4r-gpt55-20260620T031242Z-claw	6006454	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-ctxproj-7c80f84b-preflight-4r-gpt55-20260620T020854Z-claw	6005316	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-evidenceguard-29b65698-preflight-4r-gpt55-20260620T011050Z-claw	6006708	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-explicitlaunch-567a29dd-preflight-4r-gpt55-20260619T220040Z-claw	6029428	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-failsummary-ecf3a2d4-preflight-4r-gpt55-20260619T222606Z-claw	6029367	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-failtax-72d57b17-preflight-4r-gpt55-20260620T063837Z-claw	5988847	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-hyptrace-3b7a116b-preflight-4r-gpt55-20260620T012800Z-claw	6005548	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-launchflag-c91b4cec-preflight-4r-gpt55-20260619T215214Z-claw	6028396	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-legacyfamily-266d4a8b-preflight-4r-gpt55-20260619T221634Z-claw	6080660	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-measurementdetail-c822329d-preflight-4r-gpt55-20260620T061155Z-claw	5990847	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-mechanismbind-1c2c1bbb-preflight-4r-gpt55-20260619T234941Z-claw	6000994	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-nestedproj-9f353314-preflight-4r-gpt55-20260620T034239Z-claw	6018242	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-partialrec-cec86a07-preflight-4r-gpt55-20260620T030045Z-claw	6005941	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-posplateau-be6cb8b5-preflight-4r-gpt55-20260619T232819Z-claw	6000316	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-postfails-2a1c996c-preflight-4r-gpt55-20260619T223802Z-claw	6028851	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-postruninput-7647b1d6-preflight-4r-gpt55-20260620T053307Z-claw	5989847	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-postrunstatus-0f77f5f6-preflight-4r-gpt55-20260620T050837Z-claw	5990047	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-postrunstatus-25c254df-preflight-4r-gpt55-20260620T045604Z-claw	5990047	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-postrunstatus-bb359851-preflight-4r-gpt55-20260620T051930Z-claw	5990047	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-postrunstatus-cf365584-preflight-4r-gpt55-20260620T040959Z-claw	5990047	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-projguard-76a3bccd-preflight-4r-gpt55-20260620T032757Z-claw	6010402	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-promptvis-f43f360b-preflight-4r-gpt55-20260620T065638Z-claw	5989247	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-protocoldetail-fdc7ec85-preflight-4r-gpt55-20260620T062250Z-claw	5990247	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-proxyfmt-ae9f71d3-preflight-4r-gpt55-20260619T213724Z-claw	6027880	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-qualityreason-bb629c12-preflight-4r-gpt55-20260620T054506Z-claw	5990047	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-reviewinputs-80164e50-preflight-4r-gpt55-20260620T071223Z-claw	5989847	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-runguardcontract-45cbec3a-preflight-4r-gpt55-20260620T002429Z-claw	6007433	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-cvrp-large-twoopt-phase4-runtimeev-3e0512f1-preflight-4r-gpt55-20260620T014619Z-claw	6005780	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
